V_ttx	t_ttx
-0.047999999999999994	3.61396e-08
-0.047999999999999994	3.614e-08
-0.043199999999999995	3.61404e-08
-0.043199999999999995	3.61408e-08
-0.043199999999999995	3.6141200000000003e-08
-0.043199999999999995	3.61416e-08
-0.043199999999999995	3.6142e-08
-0.043199999999999995	3.61424e-08
-0.043199999999999995	3.6142800000000004e-08
-0.043199999999999995	3.61432e-08
-0.043199999999999995	3.61436e-08
-0.043199999999999995	3.6144e-08
-0.043199999999999995	3.6144400000000004e-08
-0.043199999999999995	3.61448e-08
-0.043199999999999995	3.61452e-08
-0.043199999999999995	3.61456e-08
-0.043199999999999995	3.6146e-08
-0.043199999999999995	3.61464e-08
-0.043199999999999995	3.61468e-08
-0.043199999999999995	3.6147200000000004e-08
-0.043199999999999995	3.61476e-08
-0.043199999999999995	3.6148e-08
-0.043199999999999995	3.61484e-08
-0.043199999999999995	3.6148800000000004e-08
-0.043199999999999995	3.61492e-08
-0.043199999999999995	3.61496e-08
-0.043199999999999995	3.615e-08
-0.043199999999999995	3.61504e-08
-0.047999999999999994	3.61508e-08
-0.047999999999999994	3.61512e-08
-0.047999999999999994	3.61516e-08
-0.047999999999999994	3.6152e-08
-0.047999999999999994	3.61524e-08
-0.047999999999999994	3.61528e-08
-0.047999999999999994	3.6153200000000004e-08
-0.047999999999999994	3.61536e-08
-0.05279999999999999	3.6154e-08
-0.05279999999999999	3.61544e-08
-0.05279999999999999	3.6154800000000004e-08
-0.05279999999999999	3.61552e-08
-0.05279999999999999	3.61556e-08
-0.05279999999999999	3.6156e-08
-0.05279999999999999	3.61564e-08
-0.05279999999999999	3.61568e-08
-0.05279999999999999	3.61572e-08
-0.05279999999999999	3.6157600000000003e-08
-0.05279999999999999	3.6158e-08
-0.05279999999999999	3.61584e-08
-0.0576	3.61588e-08
-0.0576	3.6159200000000004e-08
-0.0576	3.61596e-08
-0.0576	3.616e-08
-0.05279999999999999	3.61604e-08
-0.05279999999999999	3.61608e-08
-0.05279999999999999	3.61612e-08
-0.05279999999999999	3.61616e-08
-0.05279999999999999	3.6162e-08
-0.05279999999999999	3.61624e-08
-0.05279999999999999	3.61628e-08
-0.05279999999999999	3.61632e-08
-0.05279999999999999	3.6163600000000004e-08
-0.05279999999999999	3.6164e-08
-0.047999999999999994	3.61644e-08
-0.047999999999999994	3.61648e-08
-0.047999999999999994	3.6165200000000004e-08
-0.047999999999999994	3.61656e-08
-0.047999999999999994	3.6166e-08
-0.043199999999999995	3.61664e-08
-0.043199999999999995	3.61668e-08
-0.043199999999999995	3.61672e-08
-0.043199999999999995	3.61676e-08
-0.0384	3.6168000000000003e-08
-0.0384	3.61684e-08
-0.0384	3.61688e-08
-0.0336	3.61692e-08
-0.0336	3.6169600000000004e-08
-0.0336	3.617e-08
-0.0288	3.61704e-08
-0.0288	3.61708e-08
-0.0288	3.6171200000000004e-08
-0.0288	3.61716e-08
-0.023999999999999997	3.6172e-08
-0.023999999999999997	3.61724e-08
-0.023999999999999997	3.61728e-08
-0.023999999999999997	3.61732e-08
-0.0192	3.61736e-08
-0.0192	3.6174000000000004e-08
-0.0192	3.61744e-08
-0.0192	3.61748e-08
-0.0144	3.61752e-08
-0.0144	3.6175600000000004e-08
-0.0144	3.6176e-08
-0.0144	3.61764e-08
-0.0144	3.61768e-08
-0.0144	3.61772e-08
-0.0144	3.61776e-08
-0.0096	3.6178e-08
-0.0096	3.61784e-08
-0.0096	3.61788e-08
-0.0096	3.61792e-08
-0.0096	3.61796e-08
-0.0096	3.6180000000000004e-08
-0.0096	3.61804e-08
-0.0144	3.61808e-08
-0.0144	3.61812e-08
-0.0144	3.6181600000000004e-08
-0.0144	3.6182e-08
-0.0144	3.61824e-08
-0.0144	3.61828e-08
-0.0192	3.61832e-08
-0.0192	3.61836e-08
-0.0192	3.6184e-08
-0.023999999999999997	3.6184400000000003e-08
-0.023999999999999997	3.61848e-08
-0.023999999999999997	3.61852e-08
-0.023999999999999997	3.61856e-08
-0.0288	3.6186000000000004e-08
-0.0288	3.61864e-08
-0.0288	3.61868e-08
-0.0336	3.61872e-08
-0.0336	3.6187600000000004e-08
-0.0336	3.6188e-08
-0.0384	3.61884e-08
-0.0384	3.61888e-08
-0.0384	3.61892e-08
-0.043199999999999995	3.61896e-08
-0.043199999999999995	3.619e-08
-0.043199999999999995	3.6190400000000004e-08
-0.047999999999999994	3.61908e-08
-0.047999999999999994	3.61912e-08
-0.047999999999999994	3.61916e-08
-0.05279999999999999	3.6192000000000004e-08
-0.05279999999999999	3.61924e-08
-0.05279999999999999	3.61928e-08
-0.0576	3.61932e-08
-0.0576	3.61936e-08
-0.0576	3.6194e-08
-0.0576	3.61944e-08
-0.0576	3.61948e-08
-0.0624	3.61952e-08
-0.0624	3.61956e-08
-0.0624	3.6196e-08
-0.0624	3.6196400000000004e-08
-0.0624	3.61968e-08
-0.0624	3.61972e-08
-0.0624	3.61976e-08
-0.0624	3.6198000000000004e-08
-0.0624	3.61984e-08
-0.0672	3.61988e-08
-0.0672	3.61992e-08
-0.0672	3.61996e-08
-0.0672	3.62e-08
-0.0624	3.62004e-08
-0.0624	3.6200800000000003e-08
-0.0624	3.62012e-08
-0.0624	3.62016e-08
-0.0624	3.6202e-08
-0.0624	3.6202400000000004e-08
-0.0624	3.62028e-08
-0.0624	3.62032e-08
-0.0624	3.62036e-08
-0.0624	3.6204e-08
-0.0624	3.62044e-08
-0.0624	3.62048e-08
-0.0576	3.62052e-08
-0.0576	3.62056e-08
-0.0576	3.6206e-08
-0.0576	3.62064e-08
-0.0576	3.6206800000000004e-08
-0.0576	3.62072e-08
-0.0576	3.62076e-08
-0.05279999999999999	3.6208e-08
-0.05279999999999999	3.6208400000000004e-08
-0.05279999999999999	3.62088e-08
-0.05279999999999999	3.62092e-08
-0.05279999999999999	3.62096e-08
-0.05279999999999999	3.621e-08
-0.047999999999999994	3.62104e-08
-0.047999999999999994	3.62108e-08
-0.047999999999999994	3.6211200000000003e-08
-0.047999999999999994	3.62116e-08
-0.047999999999999994	3.6212e-08
-0.047999999999999994	3.62124e-08
-0.047999999999999994	3.6212800000000004e-08
-0.047999999999999994	3.62132e-08
-0.047999999999999994	3.62136e-08
-0.047999999999999994	3.6214e-08
-0.043199999999999995	3.6214400000000004e-08
-0.043199999999999995	3.62148e-08
-0.043199999999999995	3.62152e-08
-0.043199999999999995	3.62156e-08
-0.043199999999999995	3.6216e-08
-0.043199999999999995	3.62164e-08
-0.043199999999999995	3.62168e-08
-0.043199999999999995	3.6217200000000004e-08
-0.043199999999999995	3.62176e-08
-0.043199999999999995	3.6218e-08
-0.043199999999999995	3.62184e-08
-0.043199999999999995	3.6218800000000004e-08
-0.043199999999999995	3.62192e-08
-0.043199999999999995	3.62196e-08
-0.043199999999999995	3.622e-08
-0.043199999999999995	3.62204e-08
-0.047999999999999994	3.62208e-08
-0.047999999999999994	3.62212e-08
-0.047999999999999994	3.62216e-08
-0.047999999999999994	3.6222e-08
-0.047999999999999994	3.62224e-08
-0.047999999999999994	3.62228e-08
-0.047999999999999994	3.6223200000000004e-08
-0.047999999999999994	3.62236e-08
-0.047999999999999994	3.6224e-08
-0.05279999999999999	3.62244e-08
-0.05279999999999999	3.6224800000000004e-08
-0.05279999999999999	3.62252e-08
-0.05279999999999999	3.62256e-08
-0.05279999999999999	3.6226e-08
-0.05279999999999999	3.62264e-08
-0.05279999999999999	3.62268e-08
-0.05279999999999999	3.62272e-08
-0.0576	3.6227600000000003e-08
-0.0576	3.6228e-08
-0.0576	3.62284e-08
-0.0576	3.62288e-08
-0.0576	3.6229200000000004e-08
-0.0576	3.62296e-08
-0.0576	3.623e-08
-0.0576	3.62304e-08
-0.0624	3.6230800000000004e-08
-0.0624	3.62312e-08
-0.0624	3.62316e-08
-0.0624	3.6232e-08
-0.0624	3.62324e-08
-0.0624	3.62328e-08
-0.0624	3.62332e-08
-0.0624	3.6233600000000004e-08
-0.0624	3.6234e-08
-0.0624	3.62344e-08
-0.0672	3.62348e-08
-0.0672	3.6235200000000004e-08
-0.0672	3.62356e-08
-0.0672	3.6236e-08
-0.0672	3.62364e-08
-0.0672	3.62368e-08
-0.0672	3.62372e-08
-0.0672	3.62376e-08
-0.0672	3.6238e-08
-0.0672	3.62384e-08
-0.0672	3.62388e-08
-0.0672	3.62392e-08
-0.0672	3.6239600000000004e-08
-0.0672	3.624e-08
-0.0672	3.62404e-08
-0.072	3.62408e-08
-0.072	3.6241200000000004e-08
-0.072	3.62416e-08
-0.072	3.6242e-08
-0.072	3.62424e-08
-0.072	3.62428e-08
-0.072	3.62432e-08
-0.072	3.62436e-08
-0.072	3.6244000000000003e-08
-0.072	3.62444e-08
-0.072	3.62448e-08
-0.072	3.62452e-08
-0.072	3.6245600000000004e-08
-0.0768	3.6246e-08
-0.0768	3.62464e-08
-0.0768	3.62468e-08
-0.0768	3.62472e-08
-0.0768	3.62476e-08
-0.0768	3.6248e-08
-0.0768	3.62484e-08
-0.0768	3.62488e-08
-0.0768	3.62492e-08
-0.0768	3.62496e-08
-0.0768	3.6250000000000004e-08
-0.0768	3.62504e-08
-0.08159999999999999	3.62508e-08
-0.08159999999999999	3.62512e-08
-0.08159999999999999	3.6251600000000004e-08
-0.08159999999999999	3.6252e-08
-0.08159999999999999	3.62524e-08
-0.08159999999999999	3.62528e-08
-0.08159999999999999	3.62532e-08
-0.08159999999999999	3.62536e-08
-0.08159999999999999	3.6254e-08
-0.08159999999999999	3.6254400000000003e-08
-0.08159999999999999	3.62548e-08
-0.08159999999999999	3.62552e-08
-0.08159999999999999	3.62556e-08
-0.08159999999999999	3.6256000000000004e-08
-0.08159999999999999	3.62564e-08
-0.08159999999999999	3.62568e-08
-0.08159999999999999	3.62572e-08
-0.08159999999999999	3.6257600000000004e-08
-0.08159999999999999	3.6258e-08
-0.08159999999999999	3.62584e-08
-0.08159999999999999	3.62588e-08
-0.08159999999999999	3.62592e-08
-0.08159999999999999	3.62596e-08
-0.08159999999999999	3.626e-08
-0.0768	3.6260400000000004e-08
-0.0768	3.62608e-08
